Course ID,Subject,Catalog,Rq Group,Line,Line Type,Min Units,Min Course,Rqs Typ,Rqrmnt,Cond Code,Operator,Value,Acad Group,Subject,Catalog,Ptrn Type,Course ID,Trnsfr Lvl,Test Crdt,Othr Crdt,Min Points,Min Units,Incl Equiv,Term,Assoc,Conn,Parenth,Test ID,Component,Score,Max Age,Select Method,Rpt Descr,Description
7014,ACCT,4040,1558,30,COND,0,0,,,CGA,GE,2.5,,,,SMPL,,ALL,Y,Y,2,0,,,0,AND,,,,0,0,,,
7015,ACCT,4060,1561,10,CRSE,0,0,PRE,,,,,,,,SMPL,7008,ALL,Y,Y,2,0,Y,,0,,,,,0,0,,,
7015,ACCT,4060,1561,20,CRSE,0,0,PRE,,,,,,,,SMPL,7006,ALL,Y,Y,2,0,Y,,0,AND,,,,0,0,,,
7015,ACCT,4060,1561,30,COND,0,0,,,CGA,GE,2.5,,,,SMPL,,ALL,Y,Y,0,0,,,0,AND,,,,0,0,,,
7016,ACCT,4070,1563,10,CRSE,0,0,PRE,,,,,,,,SMPL,7006,ALL,Y,Y,2,0,Y,,0,,,,,0,0,,,
7016,ACCT,4070,1563,20,COND,0,0,,,CGA,GE,2.5,,,,SMPL,,ALL,Y,Y,2,0,,,0,AND,,,,0,0,,,
7017,ACCT,4080,1566,10,CRSE,0,0,PRE,,,,,,,,SMPL,7006,ALL,Y,Y,2,0,Y,,0,,,,,0,0,,,
7017,ACCT,4080,1566,20,CRSE,0,0,PRE,,,,,,,,SMPL,7010,ALL,Y,Y,2,0,Y,,0,AND,,,,0,0,,,
7017,ACCT,4080,1566,30,CRSE,0,0,PRE,,,,,,,,SMPL,7690,ALL,Y,Y,2,0,Y,,0,AND,(,,,0,0,,,
7017,ACCT,4080,1566,40,CRSE,0,0,PRE,,,,,,,,SMPL,7691,ALL,Y,Y,2,0,Y,,0,OR,),,,0,0,,,
7017,ACCT,4080,1566,50,COND,0,0,,,CGA,GE,2.5,,,,SMPL,,ALL,Y,Y,2,0,,,0,AND,,,,0,0,,,
7018,ACCT,4090,1567,10,CRSE,0,0,PRE,,,,,,,,SMPL,7017,ALL,Y,Y,2,0,Y,,0,,,,,0,0,,,
7018,ACCT,4090,1567,20,COND,0,0,,,CGA,GE,2.5,,,,SMPL,,ALL,Y,Y,0,0,,,0,AND,,,,0,0,,,
7020,ACCT,4120,1598,10,CRSE,0,0,PRE,,,,,,,,SMPL,10719,ALL,Y,Y,2,0,Y,,0,,,,,0,0,,,
7020,ACCT,4120,1598,20,CRSE,0,0,PRE,,,,,,,,SMPL,7005,ALL,Y,Y,2,0,Y,,0,AND,,,,0,0,,,
7020,ACCT,4120,1598,30,CRSE,0,0,PRE,,,,,,,,SMPL,7012,ALL,Y,Y,2,0,Y,,0,AND,,,,0,0,,,
7020,ACCT,4120,1598,40,CRSE,0,0,PRE,,,,,,,,SMPL,7008,ALL,Y,Y,2,0,Y,,0,AND,,,,0,0,,,
7020,ACCT,4120,1598,50,COND,0,0,,,CGA,GE,2.5,,,,SMPL,,ALL,Y,Y,2,0,,,0,AND,,,,0,0,,,
7022,ACCT,4500,1600,10,COND,0,0,,,CGA,GE,2.5,,,,SMPL,,ALL,Y,Y,0,0,,,0,,,,,0,0,,,
7023,ACCT,4510,1604,10,CRSE,0,0,PRE,,,,,,,,SMPL,7006,ALL,Y,Y,2,0,Y,,0,,,,,0,0,,,
7023,ACCT,4510,1604,30,COND,0,0,,,CGA,GE,2.5,,,,SMPL,,ALL,Y,Y,2,0,,,0,AND,,,,0,0,,,
7044,AE,1020,2098,10,COND,0,0,,,PL,NI,3,,,,SMPL,,ALL,Y,Y,0,0,,,0,,,,,0,0,,,
7045,AE,2010,2100,10,CRSE,0,0,PRE,,,,,,,,SMPL,7043,ALL,Y,Y,0,0,Y,,0,,,,,0,0,,,
7047,AE,2400,2102,10,CRSE,0,0,PRE,,,,,,,,SMPL,7046,ALL,Y,Y,0,0,Y,,0,,,,,0,0,,,
7048,AE,3070,2104,20,CRSE,0,0,CO,,,,,,,,SMPL,9133,ALL,Y,Y,0,0,Y,,0,,,,,0,0,,,
7049,AE,3100,2107,10,CRSE,0,0,PRE,,,,,,,,SMPL,10883,ALL,Y,Y,0,0,Y,,0,,,,,0,0,,,
7049,AE,3100,2107,20,CRSE,0,0,CO,,,,,,,,SMPL,10906,ALL,Y,Y,0,0,Y,,0,AND,,,,0,0,,,
7050,AE,3120,2109,10,CRSE,0,0,PRE,,,,,,,,SMPL,8023,ALL,Y,Y,0,0,Y,,0,,,,,0,0,,,
7050,AE,3120,2109,20,CRSE,0,0,PRE,,,,,,,,SMPL,8025,ALL,Y,Y,0,0,Y,,0,AND,,,,0,0,,,
7050,AE,3120,2109,30,CRSE,0,0,PRE,,,,,,,,SMPL,7049,ALL,Y,Y,0,0,Y,,0,AND,,,,0,0,,,
7051,AE,3130,2111,10,CRSE,0,0,PRE,,,,,,,,SMPL,8023,ALL,Y,Y,0,0,Y,,0,,,,,0,0,,,
7051,AE,3130,2111,20,CRSE,0,0,PRE,,,,,,,,SMPL,8025,ALL,Y,Y,0,0,Y,,0,AND,,,,0,0,,,
7051,AE,3130,2111,30,CRSE,0,0,PRE,,,,,,,,SMPL,7049,ALL,Y,Y,0,0,Y,,0,AND,,,,0,0,,,
7052,AE,3200,2113,10,CRSE,0,0,PRE,,,,,,,,SMPL,7046,ALL,Y,Y,0,0,Y,,0,,,,,0,0,,,
7052,AE,3200,2113,20,CRSE,0,0,PRE,,,,,,,,SMPL,54225,ALL,Y,Y,0,0,Y,,0,AND,,,,0,0,,,
7053,AE,3220,2115,10,CRSE,0,0,PRE,,,,,,,,SMPL,7046,ALL,Y,Y,0,0,Y,,0,,,,,0,0,,,
7053,AE,3220,2115,20,CRSE,0,0,PRE,,,,,,,,SMPL,9059,ALL,Y,Y,0,0,Y,,0,AND,,,,0,0,,,
7054,AE,3230,2118,10,CRSE,0,0,PRE,,,,,,,,SMPL,7052,ALL,Y,Y,0,0,Y,,0,,,,,0,0,,,
7054,AE,3230,2118,20,CRSE,0,0,CO,,,,,,,,SMPL,7053,ALL,Y,Y,0,0,Y,,0,AND,,,,0,0,,,
7055,AE,3300,2119,10,CRSE,0,0,PRE,,,,,,,,SMPL,11745,ALL,Y,Y,0,0,Y,,0,,,,,0,0,,,
7058,AE,3940,13040,10,COND,0,0,,,PL,NE,,,,,SMPL,,ALL,Y,Y,0,0,,,0,,,,,0,0,,,
7060,AE,4020,2121,10,CRSE,0,0,PRE,,,,,,,,SMPL,7053,ALL,Y,Y,0,0,Y,,0,,,,,0,0,,,
7060,AE,4020,2121,20,CRSE,0,0,PRE,,,,,,,,SMPL,7066,ALL,Y,Y,0,0,Y,,0,AND,,,,0,0,,,
7062,AE,4110,2122,10,CRSE,0,0,PRE,,,,,,,,SMPL,7050,ALL,Y,Y,0,0,Y,,0,,,,,0,0,,,
7063,AE,4120,2125,10,CRSE,0,0,PRE,,,,,,,,SMPL,8023,ALL,Y,Y,0,0,Y,,0,,,,,0,0,,,
7063,AE,4120,2125,20,CRSE,0,0,PRE,,,,,,,,SMPL,10906,ALL,Y,Y,0,0,Y,,0,AND,,,,0,0,,,
7063,AE,4120,2125,30,CRSE,0,0,PRE,,,,,,,,SMPL,7049,ALL,Y,Y,0,0,Y,,0,AND,,,,0,0,,,
7065,AE,4150,2128,10,CRSE,0,0,PRE,,,,,,,,SMPL,7063,ALL,Y,Y,0,0,Y,,0,,,,,0,0,,,
7065,AE,4150,2128,20,COND,0,0,,,PL,NI,3,,,,SMPL,,ALL,Y,Y,0,0,,,0,AND,,,,0,0,,,
7066,AE,4200,2131,10,CRSE,0,0,PRE,,,,,,,,SMPL,7052,ALL,Y,Y,0,0,Y,,0,,,,,0,0,,,
7067,AE,4250,2133,10,CRSE,0,0,PRE,,,,,,,,SMPL,7066,ALL,Y,Y,0,0,Y,,0,,,,,0,0,,,
7067,AE,4250,2133,20,COND,0,0,,,PL,NI,3,,,,SMPL,,ALL,Y,Y,0,0,,,0,AND,,,,0,0,,,
7068,AE,4300,2134,10,CRSE,0,0,PRE,,,,,,,,SMPL,7055,ALL,Y,Y,0,0,Y,,0,,,,,0,0,,,
7071,AE,4940,13041,10,COND,0,0,,,PL,NE,,,,,SMPL,,ALL,Y,Y,0,0,,,0,,,,,0,0,,,
7119,AERO,1320,13576,10,CRSE,0,0,CO,,,,,,,,SMPL,7114,ALL,Y,Y,0,0,Y,,0,,,,,0,0,,,
7123,AERO,2310,8416,10,CRSE,0,0,PRE,,,,,,,,SMPL,7117,ALL,Y,Y,0,0,Y,,0,,,,,0,0,,,
7123,AERO,2310,8416,20,CRSE,0,0,PRE,,,,,,,,SMPL,7119,ALL,Y,Y,0,0,Y,,0,AND,,,,0,0,,,
7124,AERO,2320,585,10,CRSE,0,0,CO,,,,,,,,SMPL,7114,ALL,Y,Y,0,0,Y,,0,,,,,0,0,,,
7124,AERO,2320,585,20,CRSE,0,0,PRE,,,,,,,,SMPL,7117,ALL,Y,Y,0,0,Y,,0,AND,(,,,0,0,,,
7124,AERO,2320,585,30,CRSE,0,0,PRE,,,,,,,,SMPL,7119,ALL,Y,Y,0,0,Y,,0,OR,,,,0,0,,,
7124,AERO,2320,585,40,CRSE,0,0,PRE,,,,,,,,SMPL,7123,ALL,Y,Y,0,0,Y,,0,OR,),,,0,0,,,
7125,AERO,3110,8418,10,CRSE,0,0,PRE,,,,,,,,SMPL,7117,ALL,Y,Y,0,0,Y,,0,,,,,0,0,,,
7125,AERO,3110,8418,20,CRSE,0,0,PRE,,,,,,,,SMPL,7119,ALL,Y,Y,0,0,Y,,0,AND,,,,0,0,,,
7125,AERO,3110,8418,30,CRSE,0,0,PRE,,,,,,,,SMPL,7123,ALL,Y,Y,0,0,Y,,0,AND,,,,0,0,,,
7125,AERO,3110,8418,40,CRSE,0,0,PRE,,,,,,,,SMPL,7124,ALL,Y,Y,0,0,Y,,0,AND,,,,0,0,,,
7126,AERO,3120,8419,10,CRSE,0,0,CO,,,,,,,,SMPL,7114,ALL,Y,Y,0,0,Y,,0,,,,,0,0,,,
7126,AERO,3120,8419,20,CRSE,0,0,PRE,,,,,,,,SMPL,7117,ALL,Y,Y,0,0,Y,,0,AND,(,,,0,0,,,
7126,AERO,3120,8419,30,CRSE,0,0,PRE,,,,,,,,SMPL,7119,ALL,Y,Y,0,0,Y,,0,OR,,,,0,0,,,
7126,AERO,3120,8419,40,CRSE,0,0,PRE,,,,,,,,SMPL,7123,ALL,Y,Y,0,0,Y,,0,OR,,,,0,0,,,
7126,AERO,3120,8419,50,CRSE,0,0,PRE,,,,,,,,SMPL,7124,ALL,Y,Y,0,0,Y,,0,OR,),,,0,0,,,
7127,AERO,4110,8417,10,CRSE,0,0,PRE,,,,,,,,SMPL,7125,ALL,Y,Y,0,0,Y,,0,,,,,0,0,,,
7127,AERO,4110,8417,20,CRSE,0,0,PRE,,,,,,,,SMPL,7126,ALL,Y,Y,0,0,Y,,0,AND,,,,0,0,,,
7129,AERO,4120,8415,10,CRSE,0,0,CO,,,,,,,,SMPL,7114,ALL,Y,Y,0,0,Y,,0,,,,,0,0,,,
7129,AERO,4120,8415,20,CRSE,0,0,PRE,,,,,,,,SMPL,7117,ALL,Y,Y,0,0,Y,,0,AND,(,,,0,0,,,
7129,AERO,4120,8415,30,CRSE,0,0,PRE,,,,,,,,SMPL,7119,ALL,Y,Y,0,0,Y,,0,OR,,,,0,0,,,
7129,AERO,4120,8415,40,CRSE,0,0,PRE,,,,,,,,SMPL,7123,ALL,Y,Y,0,0,Y,,0,OR,,,,0,0,,,
7129,AERO,4120,8415,50,CRSE,0,0,PRE,,,,,,,,SMPL,7124,ALL,Y,Y,0,0,Y,,0,OR,,,,0,0,,,
7129,AERO,4120,8415,60,CRSE,0,0,PRE,,,,,,,,SMPL,7125,ALL,Y,Y,0,0,Y,,0,OR,,,,0,0,,,
7129,AERO,4120,8415,70,CRSE,0,0,PRE,,,,,,,,SMPL,7126,ALL,Y,Y,0,0,Y,,0,OR,,,,0,0,,,
7129,AERO,4120,8415,80,CRSE,0,0,PRE,,,,,,,,SMPL,7127,ALL,Y,Y,0,0,Y,,0,OR,),,,0,0,,,
7135,ANTH,2000,242,10,COND,0,0,,,PL,NE,,,,,SMPL,,ALL,Y,Y,0,0,,,0,,,,,0,0,,,
7136,ANTH,2990,244,10,COND,0,0,,,PL,NE,,,,,SMPL,,ALL,Y,Y,0,0,,,0,,,,,0,0,,,
7137,ANTH,3210,248,10,COND,0,0,,,LVL,NE,10,,,,SMPL,,ALL,Y,Y,0,0,,,0,,,,,0,0,,,
7138,ANTH,3220,249,10,COND,0,0,,,LVL,NE,10,,,,SMPL,,ALL,Y,Y,0,0,,,0,,,,,0,0,,,
7139,ANTH,3260,250,10,COND,0,0,,,LVL,NE,10,,,,SMPL,,ALL,Y,Y,0,0,,,0,,,,,0,0,,,
7140,ANTH,3910,251,10,CRSE,0,0,PRE,,,,,,,,SMPL,7134,ALL,Y,Y,0,0,Y,,0,,,,,0,0,,,
7141,ANTH,4200,252,10,COND,0,0,,,LVL,NE,10,,,,SMPL,,ALL,Y,Y,0,0,,,0,,(,,,0,0,,,
7141,ANTH,4200,252,20,COND,0,0,,,LVL,NE,20,,,,SMPL,,ALL,Y,Y,0,0,,,0,OR,),,,0,0,,,
7142,ANTH,4210,253,10,COND,0,0,,,LVL,NE,10,,,,SMPL,,ALL,Y,Y,0,0,,,0,,(,,,0,0,,,
7142,ANTH,4210,253,20,COND,0,0,,,LVL,NE,20,,,,SMPL,,ALL,Y,Y,0,0,,,0,OR,),,,0,0,,,
7143,ANTH,4220,254,10,CRSE,0,0,PRE,,,,,,,,SMPL,7134,ALL,Y,Y,0,0,Y,,0,,(,,,0,0,,,
7143,ANTH,4220,254,20,CRSE,0,0,PRE,,,,,,,,SMPL,7142,ALL,Y,Y,0,0,Y,,0,OR,),,,0,0,,,
7144,ANTH,4230,255,10,CRSE,0,0,PRE,,,,,,,,SMPL,7134,ALL,Y,Y,0,0,Y,,0,,,,,0,0,,,
7145,ANTH,4260,257,10,COND,0,0,,,LVL,NE,10,,,,SMPL,,ALL,Y,Y,0,0,,,0,,(,,,0,0,,,
7145,ANTH,4260,257,20,COND,0,0,,,LVL,NE,20,,,,SMPL,,ALL,Y,Y,0,0,,,0,OR,),,,0,0,,,
7146,ANTH,4520,258,10,COND,0,0,,,LVL,NE,10,,,,SMPL,,ALL,Y,Y,0,0,,,0,,(,,,0,0,,,
7146,ANTH,4520,258,20,COND,0,0,,,LVL,NE,20,,,,SMPL,,ALL,Y,Y,0,0,,,0,OR,,,,0,0,,,
7146,ANTH,4520,258,30,COND,0,0,,,LVL,NE,30,,,,SMPL,,ALL,Y,Y,0,0,,,0,OR,),,,0,0,,,
7147,ANTH,4900,259,10,COND,0,0,,,PL,NE,,,,,SMPL,,ALL,Y,Y,0,0,,,0,,,,,0,0,,,
7148,ANTH,4920,8420,10,COND,0,0,,,PL,NE,,,,,SMPL,,ALL,Y,Y,0,0,,,0,,,,,0,0,,,
7156,ARCH,1400,145,10,COND,0,0,,,PR,EQ,AR,,,,SMPL,,ALL,Y,Y,0,0,,,0,,,,,0,0,,,
7156,ARCH,1400,145,20,CRSE,0,0,CO,,,,,,,,SMPL,7157,ALL,Y,Y,0,0,Y,,0,AND,(,,,0,0,,,
7156,ARCH,1400,145,30,CRSE,0,0,CO,,,,,,,,SMPL,10441,ALL,Y,Y,0,0,Y,,0,OR,),,,0,0,,,
7157,ARCH,1404,146,10,COND,0,0,,,PR,EQ,AR,,,,SMPL,,ALL,Y,Y,0,0,,,0,,,,,0,0,,,
7157,ARCH,1404,146,30,CRSE,0,0,CO,,,,,,,,SMPL,7156,ALL,Y,Y,0,0,Y,,0,AND,,,,0,0,,,
7158,ARCH,1410,147,10,COND,0,0,,,PR,EQ,AR,,,,SMPL,,ALL,Y,Y,0,0,,,0,,,,,0,0,,,
7158,ARCH,1410,147,20,CRSE,0,0,CO,,,,,,,,SMPL,7159,ALL,Y,Y,0,0,Y,,0,AND,(,,,0,0,,,
7158,ARCH,1410,147,30,CRSE,0,0,CO,,,,,,,,SMPL,10443,ALL,Y,Y,0,0,Y,,0,OR,),,,0,0,,,
7159,ARCH,1414,148,10,COND,0,0,,,PR,EQ,AR,,,,SMPL,,ALL,Y,Y,0,0,,,0,,,,,0,0,,,
7159,ARCH,1414,148,20,CRSE,0,0,CO,,,,,,,,SMPL,7158,ALL,Y,Y,0,0,Y,,0,AND,(,,,0,0,,,
7159,ARCH,1414,148,30,CRSE,0,0,CO,,,,,,,,SMPL,10442,ALL,Y,Y,0,0,Y,,0,OR,),,,0,0,,,
7161,ARCH,2100,149,10,COND,0,0,,,PL,EQ,PARCARUND,,,,SMPL,,ALL,Y,Y,0,0,,,0,,(,,,0,0,,,
7161,ARCH,2100,149,20,COND,0,0,,,PL,EQ,PARCMAJ,,,,SMPL,,ALL,Y,Y,0,0,,,0,OR,,,,0,0,,,
7161,ARCH,2100,149,30,COND,0,0,,,PL,EQ,PDSGARUND,,,,SMPL,,ALL,Y,Y,0,0,,,0,OR,),,,0,0,,,
7161,ARCH,2100,149,40,CRSE,0,0,PRE,,,,,,,,SMPL,7158,ALL,Y,Y,0,0,Y,,0,AND,(,,,0,0,,,
7161,ARCH,2100,149,50,CRSE,0,0,PRE,,,,,,,,SMPL,10442,ALL,Y,Y,0,0,Y,,0,OR,),,,0,0,,,
7161,ARCH,2100,149,60,CRSE,0,0,PRE,,,,,,,,SMPL,7159,ALL,Y,Y,0,0,Y,,0,AND,(,,,0,0,,,
7161,ARCH,2100,149,70,CRSE,0,0,PRE,,,,,,,,SMPL,10441,ALL,Y,Y,0,0,Y,,0,OR,),,,0,0,,,
7161,ARCH,2100,149,80,CRSE,0,0,CO,,,,,,,,SMPL,54063,ALL,Y,Y,0,0,Y,,0,AND,(,,,0,0,,,
7161,ARCH,2100,149,90,CRSE,0,0,CO,,,,,,,,SMPL,10447,ALL,Y,Y,0,0,Y,,0,OR,),,,0,0,,,
7163,ARCH,2110,150,10,COND,0,0,,,PL,EQ,PARCARUND,,,,SMPL,,ALL,Y,Y,0,0,,,0,,(,,,0,0,,,
7163,ARCH,2110,150,20,COND,0,0,,,PL,EQ,PARCMAJ,,,,SMPL,,ALL,Y,Y,0,0,,,0,OR,,,,0,0,,,
7163,ARCH,2110,150,30,COND,0,0,,,PL,EQ,PDSGARUND,,,,SMPL,,ALL,Y,Y,0,0,,,0,OR,),,,0,0,,,
7163,ARCH,2110,150,40,CRSE,0,0,PRE,,,,,,,,SMPL,7161,ALL,Y,Y,0,0,Y,,0,AND,(,,,0,0,,,
7163,ARCH,2110,150,50,CRSE,0,0,PRE,,,,,,,,SMPL,10445,ALL,Y,Y,0,0,Y,,0,OR,),,,0,0,,,
7163,ARCH,2110,150,60,CRSE,0,0,PRE,,,,,,,,SMPL,54063,ALL,Y,Y,0,0,Y,,0,AND,(,,,0,0,,,
7163,ARCH,2110,150,70,CRSE,0,0,PRE,,,,,,,,SMPL,10447,ALL,Y,Y,0,0,Y,,0,OR,),,,0,0,,,
7163,ARCH,2110,150,80,CRSE,0,0,CO,,,,,,,,SMPL,7165,ALL,Y,Y,0,0,Y,,0,AND,(,,,0,0,,,
7163,ARCH,2110,150,90,CRSE,0,0,CO,,,,,,,,SMPL,10448,ALL,Y,Y,0,0,Y,,0,OR,),,,0,0,,,
7165,ARCH,2210,152,10,COND,0,0,,,PL,EQ,PARCARUND,,,,SMPL,,ALL,Y,Y,0,0,,,0,,(,,,0,0,,,
7165,ARCH,2210,152,20,COND,0,0,,,PL,EQ,PARCMAJ,,,,SMPL,,ALL,Y,Y,0,0,,,0,OR,,,,0,0,,,
7165,ARCH,2210,152,30,COND,0,0,,,PL,EQ,PDSGARUND,,,,SMPL,,ALL,Y,Y,0,0,,,0,OR,),,,0,0,,,
7165,ARCH,2210,152,40,CRSE,0,0,PRE,,,,,,,,SMPL,7161,ALL,Y,Y,0,0,Y,,0,AND,(,,,0,0,,,
7165,ARCH,2210,152,50,CRSE,0,0,PRE,,,,,,,,SMPL,10445,ALL,Y,Y,0,0,Y,,0,OR,),,,0,0,,,
7165,ARCH,2210,152,60,CRSE,0,0,PRE,,,,,,,,SMPL,54063,ALL,Y,Y,0,0,Y,,0,AND,(,,,0,0,,,
7165,ARCH,2210,152,70,CRSE,0,0,PRE,,,,,,,,SMPL,10447,ALL,Y,Y,0,0,Y,,0,OR,),,,0,0,,,
7165,ARCH,2210,152,80,CRSE,0,0,CO,,,,,,,,SMPL,7163,ALL,Y,Y,0,0,Y,,0,AND,(,,,0,0,,,
7165,ARCH,2210,152,90,CRSE,0,0,CO,,,,,,,,SMPL,10446,ALL,Y,Y,0,0,Y,,0,OR,),,,0,0,,,
7166,ARCH,2230,153,10,COND,0,0,,,PL,EQ,PARCARUND,,,,SMPL,,ALL,Y,Y,0,0,,,0,,(,,,0,0,,,
7166,ARCH,2230,153,20,COND,0,0,,,PL,EQ,PARCMAJ,,,,SMPL,,ALL,Y,Y,0,0,,,0,OR,,,,0,0,,,
7166,ARCH,2230,153,30,COND,0,0,,,PL,EQ,PDSGARUND,,,,SMPL,,ALL,Y,Y,0,0,,,0,OR,),,,0,0,,,
7174,ART,1010,8234,10,COND,0,0,,,PR,NE,NDG,,,,SMPL,,ALL,Y,Y,0,0,,,0,,,,,0,0,,,
7175,ART,1100,8456,10,COND,0,0,,,PL,NE,,,,,SMPL,,ALL,Y,Y,0,0,,,0,,,,,0,0,,,
7176,ART,1110,1534,10,COND,0,0,,,PL,NE,,,,,SMPL,,ALL,Y,Y,0,0,,,0,,,,,0,0,,,
7179,ART,1220,1536,30,COND,0,0,,,PL,NE,,,,,SMPL,,ALL,Y,Y,0,0,,,0,,,,,0,0,,,
7182,ART,1820,1537,10,CRSE,0,0,PRE,,,,,,,,SMPL,7181,ALL,Y,Y,0,0,Y,,0,,,,,0,0,,,
7183,ART,3050,1688,10,CRSE,0,0,PRE,,,,,,,,SMPL,8999,ALL,Y,Y,0,0,Y,,0,,,,,0,0,,,
7183,ART,3050,1688,20,CRSE,0,0,PRE,,,,,,,,SMPL,9000,ALL,Y,Y,0,0,Y,,0,AND,,,,0,0,,,
7183,ART,3050,1688,30,COND,0,0,,,PR,EQ,ED,,,,SMPL,,ALL,Y,Y,0,0,,,0,AND,,,,0,0,,,
